Company Name,Company LinkedIn Link,Company Website,Phone Number,Company Size
Animation Circle Studio,https://www.linkedin.com/company/animation-circle-studio/,https://www.facebook.com/AnimateYourThought/,7890732058,11-50 employees,animation
Animation Gate,https://www.linkedin.com/company/animation-gate/,http://animationgate.com,+91 8800359160,2-10 employees,animation
Animation and VFX Jobs,https://www.linkedin.com/company/animation-and-vfx-jobs/,https://animationandvfxjobs.com/,9987502251,0-1 employees,animation
Focus Animation Studio,https://www.linkedin.com/company/focus-animation-studio/,http://www.focusanimationstudio.in,919654560038,11-50 employees,animation
Animation Planet,https://www.linkedin.com/company/animationplanet/,http://www.theanimationplanet.com,+917709557319,2-10 employees,animation
Animation Saints,https://www.linkedin.com/company/animation-saints/,http://animationsaints.in,,,animation
The Animation Society of India,https://www.linkedin.com/company/the-animation-society-of-india/,http://www.tasionline.org,,0-1 employees,animation
Animation Focuz,https://www.linkedin.com/company/animation-focuz/,,,2-10 employees,animation
Animation International India Pvt. Ltd.,https://www.linkedin.com/company/ai-licensing-india-pvt-ltd/,http://www.ai-india.com,91 2228763501,11-50 employees,animation
Animation Boss,https://www.linkedin.com/company/animation-boss/,http://www.animationboss.net,,11-50 employees,animation
